da_id,internal_name,const,tree,branch,tier,description,vp
44,Toolboxes,OMGDOCUPG.CMW.RCA.TR3.B2.T1,33,2,1,"Self Repair on Bren Carriers and Bren Gun Carriers now have 0.80 speed reduction instead of 0.35 speed reduction. In addition, the cooldown on Self Repair has been reduced by 15%. Repair manuals may be purchased to allow garrisoned combat repairs.",1
150,Carrier Tactics,OMGDOCUPG.CMW.RCA.TR3.B2.T2,33,2,2,Lockdown ability given to Bren Gun Carrier and Universal carrier which increases accuracy and suppression by 25%. Acceleration and max speed also increased 20%. Infantry in carriers retain 60% of thier reveal radius.,2
224,Spare Room for Ammo,OMGDOCUPG.CMW.RCA.TR3.B2.T3,33,2,3,Units inside universal carriers reload 25% faster.,1
100,Stuka Terror Dive,OMGDOCUPG.PE.LUFTWAFFE.TR1.B1.T1,25,1,1,Stuka Terror Dive Offmap available for purchase. Suppresses infantry in an area you select. 45 mu per use.,3
175,Butterfly Bomblets,OMGDOCUPG.PE.LUFTWAFFE.TR1.B1.T2,25,1,2,Butterfly Bombs now available for purchase. 85 mu per use.,3
249,Taking Notes On The Way Down,OMGDOCUPG.PE.LUFTWAFFE.TR1.B1.T3,25,1,3,Airborne units gain additional line of sight while paradropping.,2
101,Elite Crews,OMGDOCUPG.PE.LUFTWAFFE.TR1.B2.T1,25,2,1,"Panzer IV IST and Wirbelwind acceleration, deceleration increased by 30%, and max speed by 20%. the P4IST also gets its turret rotation increased by 30%.",3
176,Anti Tank Requisition,OMGDOCUPG.PE.LUFTWAFFE.TR1.B2.T2,25,2,2,"Fallshirmjägers may now purchase AT Rifles, or a single schreck. Fallschirmjägers and Gebirgsjägers can volley off two Panzerfaust uses in rapid succession. ",4
250,Luftwaffe Dive Bomber,OMGDOCUPG.PE.LUFTWAFFE.TR1.B2.T3,25,2,3,Fast bomber that drops a single bomb with a large area of effect. 75 mu per use. Broken currrently,10
103,Combat Arms Requisition,OMGDOCUPG.PE.LUFTWAFFE.TR2.B1.T1,26,1,1,"Luftwaffe Ground Forces may now purchase an LMG42, 2 G43s, or 2 Butterfly Mines. Fallschirmjägers can purchase 2 G43s.",4
177,Erbsenmuster Camo,OMGDOCUPG.PE.LUFTWAFFE.TR2.B1.T2,26,1,2,"Pak40s, Marders and Scout Cars now cloak after locking down.",4
251,Tier 3 alpha,OMGDOCUPG.PE.LUFTWAFFE.TR2.B1.T3,26,1,3,,1000
104,We'll Hide This... Half-Track,OMGDOCUPG.PE.LUFTWAFFE.TR2.B2.T1,26,2,1,Medic Half-Tracks now camouflage when deployed.,2
178,Mobile Security,OMGDOCUPG.PE.LUFTWAFFE.TR2.B2.T2,26,2,2,Wirbelwinds now have +5 weapon range. Scout Cars with Support Fire upgrade receive +5 weapon range when locked down.,5
252,Ground Combat Experience,OMGDOCUPG.PE.LUFTWAFFE.TR2.B2.T3,26,2,3,Dev Test: All Tanks receive +15 hp per veterancy level. Wirbelwinds may purchase Contact-Fuse AP rounds.(not buyable atm),10
106,Shift the Lines,OMGDOCUPG.PE.LUFTWAFFE.TR3.B1.T1,27,1,1,"Luftwaffe Ground Forces, Fallshirmjägers and Gebirgsjägers are granted the Sprint ability.",3
179,Infiltration,OMGDOCUPG.PE.LUFTWAFFE.TR3.B1.T2,27,1,2,Fallshirmjägers platoon can infiltrate out of buildings.,3
253,Tier 3 alpha,OMGDOCUPG.PE.LUFTWAFFE.TR3.B1.T3,27,1,3,,1000
107,A Valued Cargo,OMGDOCUPG.PE.LUFTWAFFE.TR3.B2.T1,27,2,1,"Flak 88 and Flakvierling Opel Blitz now has Half-track armor. In addition, the Trucks, Flak 88 and Flakvierling have 35% more hitpoints. Flakvierling have improved crews.",3
180,Priority Acquisitions,OMGDOCUPG.PE.LUFTWAFFE.TR3.B2.T2,27,2,2,"Extra use for Incendiary Grenades, AT Grenades, Panzerfausts, Half-track Mines, Smoke Grenades, and Anti-Building Grenades. Fallshirmjägers and Luftwaffe Ground Forces may purchase Incendiary and AT Grenades.",4
254,Tier 3 alpha,OMGDOCUPG.PE.LUFTWAFFE.TR3.B2.T3,27,2,3,,1000
82,Burning Bombardment,OMGDOCUPG.PE.SCORCHED.TR1.B1.T1,22,1,1,Burning Bombardment Offmap Artillery is unlocked for purchase. 45 mu.,2
163,Fiery Crescendo,OMGDOCUPG.PE.SCORCHED.TR1.B1.T2,22,1,2,"Hummels, Hotchkai with Stuka, and Sturmpanzers may now fire Incendiary Barrages.",5
237,Counter Offensive,OMGDOCUPG.PE.SCORCHED.TR1.B1.T3,22,1,3,"Offmap available for purchase that provides all units outside friendly territory -25% damage and infantry units -25% received suppression. Recharging cooldown, 120 mu.",4
83,Increased Payloads,OMGDOCUPG.PE.SCORCHED.TR1.B2.T1,22,2,1,"Hummels fire an extra shell on their normal barrage. In addition, Mortar Half-tracks fire two extra shells in its barrage ability.",3
164,Surplus Armaments,OMGDOCUPG.PE.SCORCHED.TR1.B2.T2,22,2,2,Panzer IV ISTs' weapon range is increased by five and may purchase Thermite rounds.,3
238,Declare Festung,OMGDOCUPG.PE.SCORCHED.TR1.B2.T3,22,2,3,"Target friendly squads, any of your infantry hit by this ability will gain extreme combat buffs in exchange for a speed reduction for the next 25 seconds.",4
85,Steady Aim,OMGDOCUPG.PE.SCORCHED.TR2.B1.T1,23,1,1,Suppressive Volley Fire on G43s can be used while garrisoned in buildings and the Slow effect lasts 15% longer.,3
165,Ignoring the Wounds,OMGDOCUPG.PE.SCORCHED.TR2.B1.T2,23,1,2,Forward HQ ability unlocks and allows you to capture an occupied building which heals nearby infantry.On a long cooldown with unlimited uses.,5
239,Nosferatu,OMGDOCUPG.PE.SCORCHED.TR2.B1.T3,23,1,3,Deployed Vampire Halftracks reduce healing and repair speeds of all enemy units in the sector. Also grants Vampires an MG.,4
86,The Hand That Destroys,OMGDOCUPG.PE.SCORCHED.TR2.B2.T1,23,2,1,Incendiary Grenades now burn 5 seconds longer. Ostfront grenadiers can now purchase molotov uses.,2
166,Third Degree Burns,OMGDOCUPG.PE.SCORCHED.TR2.B2.T2,23,2,2,Two Incendiary Grenades are now thrown with every use.,3
240,Overextended Offensive,OMGDOCUPG.PE.SCORCHED.TR2.B2.T3,23,2,3,"Unlocks the ability to purchase the Overextended Offensive utility offmap. Select an Allied sector, and after a short period, all enemy units in the sector receive severe combat penalties and -1 to move speed.",4
88,Warm Welcome,OMGDOCUPG.PE.SCORCHED.TR3.B1.T1,24,1,1,All infantry may now purchase building and ground Booby Traps.,3
167,Improved PE Regime,OMGDOCUPG.PE.SCORCHED.TR3.B1.T2,24,1,2,"Panzer Grenadiers gain access to improved sprint, with an increased duration and reduced cooldown",4
241,Sector Artillery,OMGDOCUPG.PE.SCORCHED.TR3.B1.T3,24,1,3,"Designates Sector for auto-targeting incendiary Artillery. TESTING: Currently non-functional until further notice. ",6
168,Take and Deny,OMGDOCUPG.PE.SCORCHED.TR3.B2.T2,24,3,2,Scorched Earth ability available for use. Disables one neutral or friendly sector for three minutes and reduces the benefits of cover.,999
242,Trade Space For Time,OMGDOCUPG.PE.SCORCHED.TR3.B2.T3,24,3,3,"Whenever you control less than half of the sectors, and lose a sector, your total pop increase by 1 (to a maximum of 40)",3
90,Immovable Objects,OMGDOCUPG.PE.SCORCHED.TR3.B3.T1,24,3,1,All Infantry may now build Roadblocks and Wire.,3
91,Faustpatrone,OMGDOCUPG.PE.TANKHUNTERS.TR1.B1.T1,19,1,1,All Panzergrenadier variants may now purchase Panzerfausts.,2
169,Advanced Anti-Tank Tactics,OMGDOCUPG.PE.TANKHUNTERS.TR1.B1.T2,19,1,2,"Light AT Half-Tracks' weapon range increased by five and Treadbreaker cooldown reduced by one third. Hetzers can now rotate while cloaked, have faster tracking speed, and do extra ambush damage.",5
243,Here was Advanced Half-tracks,OMGDOCUPG.PE.TANKHUNTERS.TR1.B1.T3,19,1,3,This ability has been moved.,1000
92,Fully Aware,OMGDOCUPG.PE.TANKHUNTERS.TR1.B2.T1,19,2,1,Vampire Half-tracks are now granted Tank Awareness and 15% increased sight range.,2
170,Tank Awareness,OMGDOCUPG.PE.TANKHUNTERS.TR1.B2.T2,19,2,2,All infantry now have Tank Awareness.,6
244,Time to Aim,OMGDOCUPG.PE.TANKHUNTERS.TR1.B2.T3,19,2,3,"Locked down units get +5 Line of sight, and +1 range on primary weapons every 4 seconds, up to +10%."" (known issue: MG car currently still limited to +3).",4
94,APCR Ammunition,OMGDOCUPG.PE.TANKHUNTERS.TR2.B1.T1,20,1,1,"Marders, Hetzers, ATHTs, and Panthers may purchase the APCR rounds upgrade.",3
171,Mechanized Tactics,OMGDOCUPG.PE.TANKHUNTERS.TR2.B1.T2,20,1,2,"Infantry inside Infantry Half-Tracks are 15% more accurate. Panzer Grenadier may now purchase MP40s. Scout Cars, Armored Cars, Infantry Half-tracks, Mortar Half-tracks, and Light AT Half-tracks may now purchase improved armor.",5
245,Advanced Halftracks,OMGDOCUPG.PE.TANKHUNTERS.TR2.B1.T3,20,1,3,"Infantry Halftrack MGs gain +20% burst duration and tracking speed, Mortar Halftrack gains +5 range and the Vampire Halftrack gains +250HP.",4
95,All-Terrain Refits,OMGDOCUPG.PE.TANKHUNTERS.TR2.B2.T1,20,2,1,"Vehicles in cover receive 10% less damage, and suffer 66% less movement penalty. All light vehicles now have medium terrain crush (not people!)",3
172,Mobile Repair Station,OMGDOCUPG.PE.TANKHUNTERS.TR2.B2.T2,20,2,2,Bergetiger can now lock down and spawn 2 expert repair pioneers à la the Repair Bunker.,4
246,Tier 3 alpha,OMGDOCUPG.PE.TANKHUNTERS.TR2.B2.T3,20,2,3,,1000
97,Doubled Firepower,OMGDOCUPG.PE.TANKHUNTERS.TR3.B1.T1,21,1,1,"Tank Busters may now purchase a second Panzerschreck. In addition, AT Grenades now throw a second grenade after the first.",4
173,Engineering 101,OMGDOCUPG.PE.TANKHUNTERS.TR3.B1.T2,21,1,2,Walking Wounded have Advanced Repairs. Bergetigers repair wrecks 50% faster.,4
247,Tier 3 alpha,OMGDOCUPG.PE.TANKHUNTERS.TR3.B1.T3,21,1,3,,1000
98,Getting Mobile,OMGDOCUPG.PE.TANKHUNTERS.TR3.B2.T1,21,2,1,"Marders, Light AT Half-tracks, Hetzers, Nashorns, and Jagdpanthers gain 20% increased acceleration and deceleration. In addition, the Marder and Nashorn can now exit its Sight Main Gun ability 50% faster.",3
174,Improvised Scopes,OMGDOCUPG.PE.TANKHUNTERS.TR3.B2.T2,21,2,2,"Marders, Light AT Half-Tracks, Hotchkai, Nashhorns, Jagdpanthers and others may purchase the Spotting Scope upgrade for +10 sight range.",3
248,Tier 3 alpha,OMGDOCUPG.PE.TANKHUNTERS.TR3.B2.T3,21,2,3,,1000
